Building SF,Year Built,Building Tax Expenses,Coverage,Improvement Ratio,Distance_to_Nearest_Port,Latitude,Longitude,distance_public_transport,distance_to_highway,distance_to_nearest_airport,distance_to_nearest_rail,distance_to_nearest_dc,distance_to_residential,Market Asking Rent Growth,Vacancy Rate,Sales Volume Transactions,Market Cap Rate,Under Construction SF,Net Absorption SF,Population,Industrial Employment,Under Construction SF Growth,Population Growth,Industrial Employment Growth,Secondary Type,Building Class,Sale Quarter,Sale Price
3000,1990.0,6240.0,0.229568411386593,70.7,74.32016253570552,38.587609,-121.257939,1.3559191032553384,1.4495077873614188,19.479248839432422,44.55708585984772,12.808812719971582,1.0777823550256422,0.017,0.051,73.0,0.071,3636044.0,-457648.0,2394236.0,112215.0,0.0016328988218793116,1.5305928234061738e-05,0.00026735472537124937,Warehouse,C,2020Q1,460000.0
120000,1968.0,338400.0,0.341354482844943,29.75,20.5778339831943,33.814551,-117.865563,0.102778985327512,0.6679524809163261,9.53595844111329,14.860930331746436,21.11882786733221,0.6249736137188765,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Distribution,C,2020Q1,29885000.0
6050,1989.0,19420.5,0.365492659940796,30.08,21.5045943156033,33.8272882,-117.8524358,0.0223870990722083,1.0667046414472952,10.449232472694195,14.349706218786508,19.965573085765463,0.377003377684846,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,C,2020Q1,1716000.0
6091,1973.0,20404.85,0.296269273797364,58.03,25.86560554270763,38.307311,-122.2891725,0.3474418595485997,0.8401271452957133,40.58223913229684,26.089629015585,34.70010851437867,0.230264191808107,0.013000000000000001,0.017,5.0,0.061,1265482.0,-55803.0,138428.0,18370.0,0.0,-2.737594374964014e-05,-6.812283737024249e-05,Distribution,C,2020Q1,1310000.0
4000,1959.0,15920.0,0.612182430364249,56.66,9.173977521520577,37.966206,-122.511607,0.1834119125028041,0.1831377810949186,23.1953977061445,8.191533646094358,17.244259016218994,0.0269260666707452,0.01,0.04,5.0,0.057999999999999996,,-24128.0,262685.0,11854.0,,-1.1673358885441188e-05,-9.277058086084367e-05,Service,C,2020Q1,1050000.0
10265,1900.0,13036.55,0.131649823013389,74.94,125.5887842570015,39.699274,-121.782321,,1.1490190543891352,70.00421449129271,124.18326703472748,78.6370576207241,0.6117929581762962,0.017,0.053,6.0,0.067,6900.0,-5880.0,213205.0,8817.0,0.0,-7.115813591762832e-05,8.233276157804559e-05,Service,B,2020Q1,360000.0
5072,,3448.96,,2.63,126.50372971436002,39.7204356,-121.8226954,1.1807542896329992,0.8395962493058827,71.79230917008113,126.09318896048524,80.51548270710985,0.8561615833367144,0.017,0.053,6.0,0.067,6900.0,-5880.0,213205.0,8817.0,0.0,-7.115813591762832e-05,8.233276157804559e-05,Service,C,2020Q1,150000.0
49520,1973.0,164406.4,0.298377961485623,40.32,14.693336255941068,37.627378,-122.114826,0.0991332304088163,0.1946519128396538,8.705926036623119,15.569902358835217,1.6224980434191394,0.6778130509715474,0.01,0.061,68.0,0.053,4172622.0,650639.0,2849513.0,180018.0,-0.0037576286354672416,-2.178844924484169e-06,7.646150057094347e-05,Warehouse,C,2020Q1,8820000.0
16700,1958.0,44422.0,0.958448117539027,64.18,4.324158829439539,37.763809,-122.211015,0.3694535148017275,0.3178894421810574,2.9735096096776967,5.205810537029727,4.318949491189476,0.4275026554460777,0.01,0.061,68.0,0.053,4172622.0,650639.0,2849513.0,180018.0,-0.0037576286354672416,-2.178844924484169e-06,7.646150057094347e-05,Warehouse,C,2020Q1,2800000.0
88868,1987.0,103086.88,0.444473342002601,74.84,25.03240799315592,38.2317289,-122.0821635,1.3865023638014164,0.599398104934357,36.001816138775986,25.745696298636737,31.223861637443346,0.7876379432881974,0.013000000000000001,0.063,12.0,0.063,519107.0,-340101.0,453511.0,24201.0,-0.003250286056066989,1.7202100420576904e-06,0.00023298097251585713,Warehouse,B,2020Q1,8300000.0
